FEN,Evaluation
r1b4k/pp4p1/4pq2/3p4/2n2P2/P2B4/1PQ4P/1K1R3R b - - 1 23,+253
r1b4k/p5p1/4pq2/1p1p4/2n2P2/P2B4/1PQ4P/1K1R3R w - - 0 24,+569
r1b4k/p5p1/4pq2/1p1p4/2n2P2/P2B4/1P2Q2P/1K1R3R b - - 1 24,+353
r6k/p2b2p1/4pq2/1p1p4/2n2P2/P2B4/1P2Q2P/1K1R3R w - - 2 25,+345
r6k/p2b2p1/4pq2/1p1p4/2n2P2/P2B4/1P2Q2P/1K1R2R1 b - - 3 25,+331
r3b2k/p5p1/4pq2/1p1p4/2n2P2/P2B4/1P2Q2P/1K1R2R1 w - - 4 26,+384
r3b2k/p5p1/4pq2/1p1p4/2n2P2/P2B4/1P2Q2P/1K2R1R1 b - - 5 26,+300
r6k/p4bp1/4pq2/1p1p4/2n2P2/P2B4/1P2Q2P/1K2R1R1 w - - 6 27,+357
r6k/p4bp1/4pq2/1p1p4/2n2P2/P2B2R1/1P2Q2P/1K2R3 b - - 7 27,+327
2r4k/p4bp1/4pq2/1p1p4/2n2P2/P2B2R1/1P2Q2P/1K2R3 w - - 8 28,+437
2r4k/p4bp1/4pq2/1p1p4/2n2P2/P2B2R1/1P2Q2P/1K4R1 b - - 9 28,+307
2r4k/p4bp1/3npq2/1p1p4/5P2/P2B2R1/1P2Q2P/1K4R1 w - - 10 29,+915
2r4k/p4bR1/3npq2/1p1p4/5P2/P2B4/1P2Q2P/1K4R1 b - - 0 29,+929
2r4k/p4bR1/4pq2/1p1p1n2/5P2/P2B4/1P2Q2P/1K4R1 w - - 1 30,+1085
2r4k/p4b2/4pq2/1p1p1nR1/5P2/P2B4/1P2Q2P/1K4R1 b - - 2 30,+1027
7k/p1r2b2/4pq2/1p1p1nR1/5P2/P2B4/1P2Q2P/1K4R1 w - - 3 31,#+6
7k/p1r2b2/4pq2/1p1p1BR1/5P2/P7/1P2Q2P/1K4R1 b - - 0 31,#+6
7k/p1r2b2/5q2/1p1p1pR1/5P2/P7/1P2Q2P/1K4R1 w - - 0 32,#+4
7k/p1r2b2/5q2/1p1p1p1R/5P2/P7/1P2Q2P/1K4R1 b - - 1 32,#+3
rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq - 0 4,+91
rnbqkbnr/pp3ppp/4p3/2pP4/3P4/8/PPPN1PPP/R1BQKBNR b KQkq - 0 4,-16
rnb1kbnr/pp3ppp/4p3/2pq4/3P4/8/PPPN1PPP/R1BQKBNR w KQkq - 0 5,+67
rnb1kbnr/pp3ppp/4p3/2pq4/3P4/5N2/PPPN1PPP/R1BQKB1R b KQkq - 1 5,+26
rnb1kbnr/pp3ppp/4p3/3q4/3p4/5N2/PPPN1PPP/R1BQKB1R w KQkq - 0 6,+45
rnb1kbnr/pp3ppp/4p3/3q4/2Bp4/5N2/PPPN1PPP/R1BQK2R b KQkq - 1 6,-6
rnb1kbnr/pp3ppp/3qp3/8/2Bp4/5N2/PPPN1PPP/R1BQK2R w KQkq - 2 7,+51
rnb1kbnr/pp3ppp/3qp3/8/2Bp4/5N2/PPPN1PPP/R1BQ1RK1 b kq - 3 7,+4
rnb1kb1r/pp3ppp/3qpn2/8/2Bp4/5N2/PPPN1PPP/R1BQ1RK1 w kq - 4 8,+79
rnb1kb1r/pp3ppp/3qpn2/8/2Bp4/1N3N2/PPP2PPP/R1BQ1RK1 b kq - 5 8,+6
r1b1kb1r/pp3ppp/2nqpn2/8/2Bp4/1N3N2/PPP2PPP/R1BQ1RK1 w kq - 6 9,+64
r1b1kb1r/pp3ppp/2nqpn2/8/2BN4/5N2/PPP2PPP/R1BQ1RK1 b kq - 0 9,-3
r1b1kb1r/pp3ppp/3qpn2/8/2Bn4/5N2/PPP2PPP/R1BQ1RK1 w kq - 0 10,+34
r1b1kb1r/pp3ppp/3qpn2/8/2BN4/8/PPP2PPP/R1BQ1RK1 b kq - 0 10,-6
r1b1kb1r/1p3ppp/p2qpn2/8/2BN4/8/PPP2PPP/R1BQ1RK1 w kq - 0 11,+64
r1b1kb1r/1p3ppp/p2qpn2/8/2B5/5N2/PPP2PPP/R1BQ1RK1 b kq - 1 11,-45
r1b1kb1r/5ppp/p2qpn2/1p6/2B5/5N2/PPP2PPP/R1BQ1RK1 w kq - 0 12,0
r1b1kb1r/5ppp/p2qpn2/1p6/8/3B1N2/PPP2PPP/R1BQ1RK1 b kq - 1 12,-50
r3kb1r/1b3ppp/p2qpn2/1p6/8/3B1N2/PPP2PPP/R1BQ1RK1 w kq - 2 13,+15
r3kb1r/1b3ppp/p2qpn2/1p6/P7/3B1N2/1PP2PPP/R1BQ1RK1 b kq - 0 13,-57
r3kb1r/1b3ppp/p2qp3/1p6/P5n1/3B1N2/1PP2PPP/R1BQ1RK1 w kq - 1 14,+53
r3kb1r/1b3ppp/p2qp3/1p6/P5n1/3B1N2/1PP2PPP/R1BQR1K1 b kq - 2 14,-40
r3kb1r/1b3ppp/pq2p3/1p6/P5n1/3B1N2/1PP2PPP/R1BQR1K1 w kq - 3 15,+44
r3kb1r/1b3ppp/pq2p3/1p6/P5n1/3B1N2/1PP1QPPP/R1B1R1K1 b kq - 4 15,-20
r3k2r/1b3ppp/pq2p3/1pb5/P5n1/3B1N2/1PP1QPPP/R1B1R1K1 w kq - 5 16,+23
r3k2r/1b3ppp/pq2p3/1pb5/P5n1/3B1N2/1PP1QPPP/R1B2RK1 b kq - 6 16,-38
r3k2r/1b3ppp/pq2p3/2b5/Pp4n1/3B1N2/1PP1QPPP/R1B2RK1 w kq - 0 17,0
r3k2r/1b3ppp/pq2p3/2b5/Pp4n1/3B1N1P/1PP1QPP1/R1B2RK1 b kq - 0 17,-25
r3k2r/1b3ppp/pq2pn2/2b5/Pp6/3B1N1P/1PP1QPP1/R1B2RK1 w kq - 1 18,0
r3k2r/1b3ppp/pq2pn2/2b3B1/Pp6/3B1N1P/1PP1QPP1/R4RK1 b kq - 2 18,-56
r3k2r/1b3ppp/pq2p3/2b3Bn/Pp6/3B1N1P/1PP1QPP1/R4RK1 w kq - 3 19,0
r3k2r/1b3ppp/pq2p3/2b4n/Pp6/3BBN1P/1PP1QPP1/R4RK1 b kq - 4 19,-23
r3k2r/1b3ppp/pq2p3/7n/Pp6/3BbN1P/1PP1QPP1/R4RK1 w kq - 0 20,-6
r3k2r/1b3ppp/pq2p3/7n/Pp6/3BQN1P/1PP2PP1/R4RK1 b kq - 0 20,-49
r3k2r/1b3ppp/p3p3/7n/Pp6/3BqN1P/1PP2PP1/R4RK1 w kq - 0 21,0
r3k2r/1b3ppp/p3p3/7n/Pp6/3BPN1P/1PP3P1/R4RK1 b kq - 0 21,-36
r3k2r/1b3ppp/p3p3/8/Pp6/3BPNnP/1PP3P1/R4RK1 w kq - 1 22,0
r3k2r/1b3ppp/p3p3/8/Pp6/3BPNnP/1PP3P1/R3R1K1 b kq - 2 22,-33
r3k2r/1b3ppp/p3p3/8/Pp2n3/3BPN1P/1PP3P1/R3R1K1 w kq - 3 23,-18
r3k2r/1b3ppp/p3p3/4N3/Pp2n3/3BP2P/1PP3P1/R3R1K1 b kq - 4 23,-43
r3k2r/1b3ppp/p3p3/2n1N3/Pp6/3BP2P/1PP3P1/R3R1K1 w kq - 5 24,0
r3k2r/1b3ppp/p3p3/2n1N3/PpB5/4P2P/1PP3P1/R3R1K1 b kq - 6 24,-37
r6r/1b2kppp/p3p3/2n1N3/PpB5/4P2P/1PP3P1/R3R1K1 w - - 7 25,-11
r6r/1b2kppp/p3p3/P1n1N3/1pB5/4P2P/1PP3P1/R3R1K1 b - - 0 25,-46
r2r4/1b2kppp/p3p3/P1n1N3/1pB5/4P2P/1PP3P1/R3R1K1 w - - 1 26,0
r2r4/1b2kppp/p3p3/P1n1N3/1pB5/4P2P/1PP3P1/R2R2K1 b - - 2 26,-56
2rr4/1b2kppp/p3p3/P1n1N3/1pB5/4P2P/1PP3P1/R2R2K1 w - - 3 27,+33
2rr4/1b2kppp/p3p3/P1n1N3/1pB5/1P2P2P/2P3P1/R2R2K1 b - - 0 27,-53
3r4/1br1kppp/p3p3/P1n1N3/1pB5/1P2P2P/2P3P1/R2R2K1 w - - 1 28,+34
3R4/1br1kppp/p3p3/P1n1N3/1pB5/1P2P2P/2P3P1/R5K1 b - - 0 28,0
3k4/1br2ppp/p3p3/P1n1N3/1pB5/1P2P2P/2P3P1/R5K1 w - - 0 29,+47
3k4/1br2ppp/p3p3/P1n5/1pB5/1P1NP2P/2P3P1/R5K1 b - - 1 29,-10
3k4/1br2ppp/p3p3/P7/1pB5/1P1nP2P/2P3P1/R5K1 w - - 0 30,+80
3k4/1br2ppp/p3p3/P7/1p6/1P1BP2P/2P3P1/R5K1 b - - 0 30,+35
3k4/1b3ppp/p3p3/P1r5/1p6/1P1BP2P/2P3P1/R5K1 w - - 1 31,+66
3k4/1b3ppp/p3p3/P1r5/Rp6/1P1BP2P/2P3P1/6K1 b - - 2 31,+32
8/1bk2ppp/p3p3/P1r5/Rp6/1P1BP2P/2P3P1/6K1 w - - 3 32,+98
8/1bk2ppp/p3p3/P1r5/Rp6/1P1BP2P/2P2KP1/8 b - - 4 32,+8
8/1bk2p1p/p3p1p1/P1r5/Rp6/1P1BP2P/2P2KP1/8 w - - 0 33,+79
8/1bk2p1p/p3p1p1/P1r5/Rp4P1/1P1BP2P/2P2K2/8 b - - 0 33,+51
8/2k2p1p/p1b1p1p1/P1r5/Rp4P1/1P1BP2P/2P2K2/8 w - - 1 34,+48
8/2k2p1p/p1b1p1p1/P1r5/1R4P1/1P1BP2P/2P2K2/8 b - - 0 34,+35
8/2k2p1p/p1b1p1p1/r7/1R4P1/1P1BP2P/2P2K2/8 w - - 0 35,+41
8/2k2p1p/p1b1p1p1/r7/5RP1/1P1BP2P/2P2K2/8 b - - 1 35,+13
8/2k4p/p1b1p1p1/r4p2/5RP1/1P1BP2P/2P2K2/8 w - - 0 36,+85
8/2k4p/p1b1p1p1/r4pP1/5R2/1P1BP2P/2P2K2/8 b - - 0 36,+58
8/2k4p/p1b1p1p1/3r1pP1/5R2/1P1BP2P/2P2K2/8 w - - 1 37,+76
8/2k4p/p1b1p1p1/3r1pP1/7R/1P1BP2P/2P2K2/8 b - - 2 37,+61
8/2kr3p/p1b1p1p1/5pP1/7R/1P1BP2P/2P2K2/8 w - - 3 38,+12
8/2kr3p/B1b1p1p1/5pP1/7R/1P2P2P/2P2K2/8 b - - 0 38,+13
8/2k4p/B1b1p1p1/5pP1/7R/1P2P2P/2Pr1K2/8 w - - 1 39,+50
8/2k4p/B1b1p1p1/5pP1/7R/1P2P2P/2Pr4/4K3 b - - 2 39,+28
8/2k4p/B1b1p1p1/5pP1/7R/1P2P2P/2r5/4K3 w - - 0 40,+7
8/2k4R/B1b1p1p1/5pP1/8/1P2P2P/2r5/4K3 b - - 0 40,+12
8/7R/B1bkp1p1/5pP1/8/1P2P2P/2r5/4K3 w - - 1 41,+13
8/7R/2bkp1p1/5pP1/2B5/1P2P2P/2r5/4K3 b - - 2 41,0
8/7R/3kp1p1/3b1pP1/2B5/1P2P2P/2r5/4K3 w - - 3 42,+63
8/6R1/3kp1p1/3b1pP1/2B5/1P2P2P/2r5/4K3 b - - 4 42,0
8/6R1/3kp1p1/3b1pP1/2B5/1P2P2P/7r/4K3 w - - 5 43,+13
8/8/3kp1R1/3b1pP1/2B5/1P2P2P/7r/4K3 b - - 0 43,0
8/8/3kp1R1/3b1pP1/2B5/1P2P2r/8/4K3 w - - 0 44,+25
8/8/3kp1R1/3b1pP1/2B5/1P2P2r/3K4/8 b - - 1 44,+4
8/8/3kp1R1/3b1pP1/2B5/1P2P1r1/3K4/8 w - - 2 45,+14
6R1/8/3kp3/3b1pP1/2B5/1P2P1r1/3K4/8 b - - 3 45,+13
6R1/8/3kp3/5pP1/2b5/1P2P1r1/3K4/8 w - - 0 46,+123
6R1/8/3kp3/5pP1/2P5/4P1r1/3K4/8 b - - 0 46,+105
6R1/8/4p3/2k2pP1/2P5/4P1r1/3K4/8 w - - 1 47,+350
6R1/8/4p1P1/2k2p2/2P5/4P1r1/3K4/8 b - - 0 47,+373
6R1/8/3kp1P1/5p2/2P5/4P1r1/3K4/8 w - - 1 48,+888
6R1/8/3kp1P1/2P2p2/8/4P1r1/3K4/8 b - - 0 48,+1863
6R1/2k5/4p1P1/2P2p2/8/4P1r1/3K4/8 w - - 1 49,+1276
6R1/2k3P1/4p3/2P2p2/8/4P1r1/3K4/8 b - - 0 49,+3113
6R1/1k4P1/4p3/2P2p2/8/4P1r1/3K4/8 w - - 1 50,+1088
6R1/1k4P1/2P1p3/5p2/8/4P1r1/3K4/8 b - - 0 50,+4796
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,+75
rnbqkbnr/pp1ppppp/2p5/8/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq - 0 2,+25
rnbqkbnr/pp2pppp/2p5/3p4/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq - 0 3,+60
rnbqkbnr/pp2pppp/2p5/3P4/2P5/8/PP1P1PPP/RNBQKBNR b KQkq - 0 3,+14
rnbqkbnr/pp2pppp/8/3p4/2P5/8/PP1P1PPP/RNBQKBNR w KQkq - 0 4,+39
rnbqkbnr/pp2pppp/8/3P4/8/8/PP1P1PPP/RNBQKBNR b KQkq - 0 4,-10
rnbqkb1r/pp2pppp/5n2/3P4/8/8/PP1P1PPP/RNBQKBNR w KQkq - 1 5,+38
rnbqkb1r/pp2pppp/5n2/3P4/8/2N5/PP1P1PPP/R1BQKBNR b KQkq - 2 5,-7
rnbqkb1r/pp2pp1p/5np1/3P4/8/2N5/PP1P1PPP/R1BQKBNR w KQkq - 0 6,+118
rnbqkb1r/pp2pp1p/5np1/3P4/2B5/2N5/PP1P1PPP/R1BQK1NR b KQkq - 1 6,+31
rnbqk2r/pp2ppbp/5np1/3P4/2B5/2N5/PP1P1PPP/R1BQK1NR w KQkq - 2 7,+93
rnbqk2r/pp2ppbp/5np1/3P4/2B5/2N2N2/PP1P1PPP/R1BQK2R b KQkq - 3 7,+35
rnbq1rk1/pp2ppbp/5np1/3P4/2B5/2N2N2/PP1P1PPP/R1BQK2R w KQ - 4 8,+83
rnbq1rk1/pp2ppbp/5np1/3P4/2B5/2N2N2/PP1P1PPP/R1BQ1RK1 b - - 5 8,+92
r1bq1rk1/pp1nppbp/5np1/3P4/2B5/2N2N2/PP1P1PPP/R1BQ1RK1 w - - 6 9,+134
r1bq1rk1/pp1nppbp/5np1/3P4/2B5/2NP1N2/PP3PPP/R1BQ1RK1 b - - 0 9,+124
r1bq1rk1/pp2ppbp/1n3np1/3P4/2B5/2NP1N2/PP3PPP/R1BQ1RK1 w - - 1 10,+165
r1bq1rk1/pp2ppbp/1n3np1/3P4/2B5/1QNP1N2/PP3PPP/R1B2RK1 b - - 2 10,+101
r2q1rk1/pp2ppbp/1n3np1/3P1b2/2B5/1QNP1N2/PP3PPP/R1B2RK1 w - - 3 11,+141
r2q1rk1/pp2ppbp/1n3np1/3P1b2/2B5/1QNP1N2/PP3PPP/R1B1R1K1 b - - 4 11,+76
r2q1rk1/pp2ppb1/1n3npp/3P1b2/2B5/1QNP1N2/PP3PPP/R1B1R1K1 w - - 0 12,+183
r2q1rk1/pp2ppb1/1n3npp/3P1b2/P1B5/1QNP1N2/1P3PPP/R1B1R1K1 b - - 0 12,+138
r2q1rk1/pp1nppb1/1n4pp/3P1b2/P1B5/1QNP1N2/1P3PPP/R1B1R1K1 w - - 1 13,+148
r2q1rk1/pp1nppb1/1n4pp/3P1b2/P1B5/1QNPBN2/1P3PPP/R3R1K1 b - - 2 13,+99
r2q1rk1/1p1nppb1/1n4pp/p2P1b2/P1B5/1QNPBN2/1P3PPP/R3R1K1 w - - 0 14,+250
r2q1rk1/1p1nppb1/1n4pp/p2P1b2/P1BN4/1QNPB3/1P3PPP/R3R1K1 b - - 1 14,+196
r2q1rk1/1p1nppb1/6pp/p2P1b2/P1nN4/1QNPB3/1P3PPP/R3R1K1 w - - 0 15,+266
r2q1rk1/1p1nppb1/6pp/p2P1b2/P1PN4/1QN1B3/1P3PPP/R3R1K1 b - - 0 15,+294
r2q1rk1/1p2ppb1/6pp/p1nP1b2/P1PN4/1QN1B3/1P3PPP/R3R1K1 w - - 1 16,+332
r2q1rk1/1p2ppb1/6pp/p1nP1b2/P1PN4/Q1N1B3/1P3PPP/R3R1K1 b - - 2 16,+199
r2q1rk1/1p2ppb1/6pp/p2P1b2/P1PN4/Q1NnB3/1P3PPP/R3R1K1 w - - 3 17,+233
r2q1rk1/1p2ppb1/6pp/p2P1N2/P1P5/Q1NnB3/1P3PPP/R3R1K1 b - - 0 17,+187
r2q1rk1/1p2ppb1/7p/p2P1p2/P1P5/Q1NnB3/1P3PPP/R3R1K1 w - - 0 18,+236
r2q1rk1/1p2ppb1/7p/p2P1p2/P1P5/Q1NnB3/1P3PPP/R2R2K1 b - - 1 18,+198
r2q1rk1/1p2ppb1/7p/p2Pnp2/P1P5/Q1N1B3/1P3PPP/R2R2K1 w - - 2 19,+262
r2q1rk1/1p2ppb1/7p/p2Pnp2/P1P5/QPN1B3/5PPP/R2R2K1 b - - 0 19,+148
r2q1rk1/1p2ppb1/7p/p2P1p2/P1P3n1/QPN1B3/5PPP/R2R2K1 w - - 1 20,+170
r2q1rk1/1p2ppb1/7p/p2P1p2/P1P3n1/1PN1B3/5PPP/R1QR2K1 b - - 2 20,+127
r2q1rk1/1p2ppb1/7p/p2P4/P1P2pn1/1PN1B3/5PPP/R1QR2K1 w - - 0 21,+227
r2q1rk1/1p2ppb1/7p/p2P4/P1PB1pn1/1PN5/5PPP/R1QR2K1 b - - 1 21,+178
r2q1rk1/1p2pp2/7p/p2P4/P1Pb1pn1/1PN5/5PPP/R1QR2K1 w - - 0 22,+227
r2q1rk1/1p2pp2/7p/p2P4/P1PR1pn1/1PN5/5PPP/R1Q3K1 b - - 0 22,+220
r2q1rk1/1p3p2/7p/p2Pp3/P1PR1pn1/1PN5/5PPP/R1Q3K1 w - e6 0 23,+221
r2q1rk1/1p3p2/7p/p2Pp3/P1P2pn1/1PN5/3R1PPP/R1Q3K1 b - - 1 23,+187
r4rk1/1p3p2/7p/p2Pp3/P1P2pnq/1PN5/3R1PPP/R1Q3K1 w - - 2 24,+271
r4rk1/1p3p2/7p/p2Pp3/P1P2pnq/1PN4P/3R1PP1/R1Q3K1 b - - 0 24,+219
r4rk1/1p3p2/5n1p/p2Pp3/P1P2p1q/1PN4P/3R1PP1/R1Q3K1 w - - 1 25,+263
r4rk1/1p3p2/5n1p/p2Pp3/P1P2p1q/1PN4P/3R1PP1/R3Q1K1 b - - 2 25,+198
r4rk1/1p3p2/5n1p/p2Pp1q1/P1P2p2/1PN4P/3R1PP1/R3Q1K1 w - - 3 26,+303
r4rk1/1p3p2/5n1p/p2Pp1q1/P1P1Np2/1P5P/3R1PP1/R3Q1K1 b - - 4 26,+244
r4rk1/1p3p2/7p/p2Pp1q1/P1P1np2/1P5P/3R1PP1/R3Q1K1 w - - 0 27,+296
r4rk1/1p3p2/7p/p2Pp1q1/P1P1Qp2/1P5P/3R1PP1/R5K1 b - - 0 27,+266
r4rk1/1p6/7p/p2Pppq1/P1P1Qp2/1P5P/3R1PP1/R5K1 w - - 0 28,+361
r4rk1/1p6/7p/p2PQpq1/P1P2p2/1P5P/3R1PP1/R5K1 b - - 0 28,+330
4rrk1/1p6/7p/p2PQpq1/P1P2p2/1P5P/3R1PP1/R5K1 w - - 1 29,+389
4rrk1/1p6/7p/p2PQpq1/P1P2p1P/1P6/3R1PP1/R5K1 b - - 0 29,+194
4rrk1/1p6/7p/p2PQp2/P1P2p1q/1P6/3R1PP1/R5K1 w - - 0 30,+381
4rrk1/1p6/7p/p2P1p2/P1P2p1q/1PQ5/3R1PP1/R5K1 b - - 1 30,+338
5rk1/1p6/7p/p2P1p2/P1P1rp1q/1PQ5/3R1PP1/R5K1 w - - 2 31,+454
5rk1/1p6/3P3p/p4p2/P1P1rp1q/1PQ5/3R1PP1/R5K1 b - - 0 31,+406
5rk1/1p6/3P3p/p4pq1/P1P1rp2/1PQ5/3R1PP1/R5K1 w - - 1 32,+519
5rk1/1p6/3P3p/p4pq1/P1P1rp2/1PQ2P2/3R2P1/R5K1 b - - 0 32,+511
5rk1/1p6/3P3p/p4pq1/P1P2p2/1PQ1rP2/3R2P1/R5K1 w - - 1 33,+629
5rk1/1p6/3P3p/Q4pq1/P1P2p2/1P2rP2/3R2P1/R5K1 b - - 0 33,+621
4r1k1/1p6/3P3p/Q4pq1/P1P2p2/1P2rP2/3R2P1/R5K1 w - - 1 34,+779
4r1k1/1p6/3P3p/Q4pq1/P1P2p2/1P2rP2/5RP1/R5K1 b - - 2 34,+463
4r1k1/1p6/3P1q1p/Q4p2/P1P2p2/1P2rP2/5RP1/R5K1 w - - 3 35,+516
4r1k1/1p6/3P1q1p/Q4p2/P1P2p2/1P2rP2/5RP1/3R2K1 b - - 4 35,+500
4r1k1/1p6/3P1q1p/Q3rp2/P1P2p2/1P3P2/5RP1/3R2K1 w - - 5 36,+768
4r1k1/1p1P4/5q1p/Q3rp2/P1P2p2/1P3P2/5RP1/3R2K1 b - - 0 36,+673
rnbqkb1r/pp2pppp/8/3n4/8/2N5/PP1P1PPP/R1BQKBNR w KQkq - 0 6,+41
rnbqkb1r/pp2pppp/8/3n4/3P4/2N5/PP3PPP/R1BQKBNR b KQkq - 0 6,-27
r1bqkb1r/pp2pppp/2n5/3n4/3P4/2N5/PP3PPP/R1BQKBNR w KQkq - 1 7,+20
r1bqkb1r/pp2pppp/2n5/3n4/3P4/2N2N2/PP3PPP/R1BQKB1R b KQkq - 2 7,-23
r1bqkb1r/pp3ppp/2n1p3/3n4/3P4/2N2N2/PP3PPP/R1BQKB1R w KQkq - 0 8,+60
r1bqkb1r/pp3ppp/2n1p3/3n4/3P4/2NB1N2/PP3PPP/R1BQK2R b KQkq - 1 8,-21
